#UID,filename,consideredRecs,unconsideredRecs,avgDxDt,stdevDxDt,avgDyDt,stdevDyDt,dtMax,DxDtMax,DyDtMax,MinX,MinY,MaxX,MaxY,AreaX,AreaY,AreaDiagonal
#Num,538,,,,,,,,,,,,,,,,
118,new_eavflid.txt,3001,0,398.8498233,3007.337042,408.819748,3861.67666,23407,146325.76,202089.4036,37.36934,-122.51289,37.85004,-122.00226,63614.31062,53511.27922,56843.07158
119,new_ebcicy.txt,3001,0,271.5067459,489.9494247,225.2740364,326.0706719,15441,3827.454492,4408.251835,37.6138,-122.49439,37.82373,-122.36706,18920.18465,23369.3007,14174.31076
120,new_ebdafya.txt,3001,0,310.6618499,524.2609035,290.4658348,563.6565155,18242,8804.887724,17017.36216,37.55346,-122.49582,37.98598,-122.27897,35324.73131,48147.90616,24139.63158
121,new_ebenfrag.txt,3001,0,349.8180663,529.9892842,292.3325387,395.6394573,33133,3206.001335,4675.418613,37.40066,-122.5131,37.82513,-122.00205,62228.91985,47251.78426,56889.82577
122,new_ebrulra.txt,3001,0,266.4161428,904.076617,252.2245531,933.0729271,19957,43147.43463,47822.85324,37.61394,-122.51022,37.80892,-122.37623,18922.4677,21705.07431,14915.69857
123,new_ebstic.txt,3001,0,998.4915792,28534.91895,691.9281735,16511.28013,66552,1264942.855,731736.4088,36.27129,-123.28284,37.80841,-122.38247,136568.9319,171111.4157,100228.7299
128,new_ecgojtyt.txt,3001,0,351.1986777,1147.118856,288.914753,491.8910818,14429,45885.8941,12156.08839,37.59135,-122.54308,37.90435,-122.19619,42885.15196,34843.00062,38615.61816
127,new_ecforj.txt,3001,0,348.6245196,772.25824,340.3250603,1198.51637,17579,22174.84257,58175.56589,37.61356,-122.51074,37.87396,-122.26823,31143.20609,28987.5954,26996.08971
126,new_ecfesy.txt,3001,0,306.5075114,570.4041234,289.5344886,559.3073086,24097,12707.11987,16096.79837,37.58768,-122.52165,37.96906,-122.34736,29914.98877,42455.0274,19401.87405
125,new_ecdiwovu.txt,3001,0,348.9766743,1094.666359,325.3392435,647.6106432,17854,50360.93763,24512.55187,37.41024,-122.51209,37.87237,-122.14151,49583.71036,51444.07628,41252.7769
124,new_eccest.txt,3001,0,217.6133267,374.3108503,209.3424129,281.7998605,23380,3713.618213,3339.584724,37.61425,-122.48713,37.8086,-122.38303,16399.29886,21634.94304,11588.35899
129,new_ecjeody.txt,3001,0,338.389306,613.6629003,296.7906657,488.840529,14914,13692.29737,10352.71264,37.4581,-122.51844,37.88052,-122.14074,48991.81357,47023.5793,42045.37167
132,new_eddreba.txt,3001,0,264.3144606,1021.931312,267.7811741,776.8375335,28578,36344.22347,35103.80628,37.55455,-122.50922,37.85874,-122.19041,39847.50423,33862.2759,35489.76686
131,new_ecnoplsi.txt,3001,0,230.0303377,401.5831838,265.5646778,550.926719,51466,4074.293363,22575.59273,37.55402,-122.53342,37.96878,-122.09646,54545.56795,46170.872,48642.1647
130,new_eckecky.txt,3001,0,232.1828869,1206.346875,231.2221178,355.6455559,13912,62049.48417,7054.872729,37.61388,-122.51379,37.86057,-122.38242,20759.40403,27461.40518,14624.04151
133,new_edeejdru.txt,3001,0,311.4532302,1677.012576,283.8390902,2249.726805,18261,68728.65362,99078.79959,37.60269,-122.50455,37.86622,-122.19031,38341.1148,29336.02541,34981.03679
134,new_edglevi.txt,3001,0,297.1248004,1450.425263,309.9121868,1006.437575,6438,74940.2812,39473.89144,37.58342,-122.50566,37.95614,-122.22008,38779.96769,41491.00061,31790.62018
135,new_edgrat.txt,3001,0,232.2631664,618.8160769,322.9748895,1158.452882,19250,22174.84257,49759.81238,37.61536,-122.49661,37.87189,-122.18949,37446.59059,28556.78897,34188.44201
138,new_edmugrip.txt,3001,0,283.397729,1286.022282,277.7666047,937.9445443,8177,60713.65028,43347.80971,37.48998,-122.5098,37.85465,-122.09778,50737.54431,40594.87871,45865.8566
137,new_edlyxy.txt,3001,0,219.4121382,388.2925321,205.2933943,271.1207907,16594,2612.540705,2805.251168,37.55384,-122.50942,37.8089,-122.27459,30244.26011,28393.14932,26141.15602
